native_lr,wiki_lr,sense
0.5264626836375715,0.5171780901427083,all
0.5728431879358464,0.5583934188409739,porn
0.5041483179544477,0.5677561461202566,photo
0.585463114968747,0.5197737241547236,phone
0.535243100796817,0.5186440677966101,bike
0.5176608187134503,0.5191408911829439,tv
0.5229384152736185,0.0,carb
0.5587273293155646,0.5535225318197454,math
0.0,0.0,limo
0.0,0.503825365060219,dorm
0.0,0.0,kilo
0.0,0.4856052848885219,rhino
0.5325876772372393,0.0,undergrad
0.0,0.0,hippo
0.0,0.0,chimp
0.498907789843701,0.6682699631130323,ref
0.0,0.0,roach
0.5471885952837825,0.0,fridge
0.5595129701931947,0.5332239140170174,exam
0.5155114367694553,0.0,chemo
0.0,0.5536800222118742,sax
0.5328768810886624,0.0,frat
0.6236838483799809,0.5278601978080727,memo
0.5293161381282927,0.5122627257799672,lab
0.5029613484452194,0.5928144278842862,info
