native,nonnative,wiki,sense
0.5759090909090909,0.5718181818181818,0.5463636363636363,all
0.72958554964539,0.745439787485242,0.7778820955143374,porn
0.6343365331107401,0.6655183002551424,0.6503402517278811,photo
0.7668289078218535,0.7577521419494664,0.742985583875031,phone
0.6223621259852812,0.6226309628328943,0.68816118403267,bike
0.653799906903644,0.6514065171605539,0.627147214461963,tv
0.7708614864864866,0.0,0.0,carb
0.6925035827107321,0.6814066906430657,0.8051536675578219,math
0.0,0.0,0.0,limo
0.0,0.0,0.6826024411508282,dorm
0.0,0.7080740975875204,0.0,kilo
0.0,0.0,0.7885281735751295,rhino
0.6825519498672132,0.6831512979664621,0.0,undergrad
0.0,0.0,0.0,hippo
0.0,0.0,0.0,chimp
0.6281741949664797,0.6301790738658153,0.8545083279948751,ref
0.0,0.0,0.0,roach
0.6166904664762682,0.6061621850775194,0.0,fridge
0.817122782395912,0.7840070346320347,0.7183907116268193,exam
0.6092279686333084,0.0,0.0,chemo
0.0,0.0,0.6434832538300397,sax
0.7473389706649963,0.7743341404358354,0.0,frat
0.8557425399028453,0.8704057734204793,0.7630017906062043,memo
