native,nonnative,wiki,sense
0.6800547755205342,0.6838044184535412,0.7051331288580821,all
0.7594310388420087,0.7782901142573274,0.8289130434782608,porn
0.6760267867725496,0.7018845958510763,0.7126275960211615,photo
0.7939980303259869,0.7860174947216831,0.7937445120565896,phone
0.6854566376557918,0.669178382220459,0.7769300911854103,bike
0.6854195927587402,0.6794341805174988,0.7129738342393174,tv
0.7959149673463948,0.7790395148669796,0.0,carb
0.72765655877926,0.7274778022255831,0.8397351632845196,math
0.0,0.0,0.6890526140526141,limo
0.0,0.6381830601092895,0.7197431369042298,dorm
0.7448863636363636,0.7309488166524094,0.8064294631710363,kilo
0.0,0.0,0.8293177429736108,rhino
0.6846907739101047,0.6842596749573494,0.0,undergrad
0.0,0.0,0.8031578947368421,hippo
0.6167306052855925,0.6583333333333333,0.7455242966751918,chimp
0.6644223247882259,0.6872673942678575,0.8723901098901099,ref
0.7701314508276533,0.7712609238451935,0.8249828414550446,roach
0.6369564618352163,0.6020552392368395,0.6860613810741688,fridge
0.8212015358290555,0.7909994218817749,0.7630295915999683,exam
0.6459213759213759,0.6112544628367413,0.0,chemo
0.63984375,0.6451490356516658,0.7215421341608976,sax
0.7806112295664535,0.7912698412698413,0.0,frat
0.8737281603288798,0.8783703472005004,0.7781997187060476,memo
